Configuration	ErrorRate	Precision	Recall	F-Measure
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	10.90%	88.92%	89.10%	88.92%
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	10.90%	88.92%	89.10%	88.92%
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	10.90%	88.92%	89.10%	88.92%
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	10.90%	88.92%	89.10%	88.92%
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	10.90%	88.92%	89.10%	88.92%
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	10.90%	88.92%	89.10%	88.92%
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	10.90%	88.92%	89.10%	88.92%
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	10.90%	88.92%	89.10%	88.92%
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	10.90%	88.92%	89.10%	88.92%
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=true}	10.90%	88.92%	89.10%	88.92%
{ConfidenceFactor=0.4, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=true}	10.90%	88.92%	89.10%	88.92%
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%
{ConfidenceFactor=0.1, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%
{ConfidenceFactor=0.2, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=false, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=false, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%
{ConfidenceFactor=0.3, MinNumObj=0, SubTreeRaising=true, Unpruned=true, UseLaplace=true, UseMDLCorrection=false}	10.91%	88.89%	89.09%	88.90%
